שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
,בית ספר דעת אהרן,הקבלן 40,,,על יסודי,,,31.7881050235833,35.178190403979485,"הקבלן 40, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר דרך החיים,הקבלן 8,,,יסודי,,,31.78823342100694,35.175359690486886,"הקבלן 8, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר סמינר שושנים,בית יצחק 1,,,על יסודי,,,31.78918394336319," 35.17445484734019","בית יצחק 1, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר הר נוף,הרב שאול אבן דנאן 30,,,יסודי,,,31.781558458636987,35.17262663281553,"הרב שאול אבן דנאן 30, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר הר נוף - בנים (נתיבות שלמה),הרב רפאל קצנלבוגן 25,,,יסודי,,,31.786482143673176,35.17575994018162,"הרב רפאל קצנלבוגן 25, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר הר נוף - בנים (שתילי מאיר),הפלאה 2,,,יסודי,,,31.788414425277892,35.17633598863602,"הפלאה 2, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר זרע יצחק,הקבלן 42,,,על יסודי,,,31.788808077078176,35.17844115348567,"הקבלן 42, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר נר שמואל,הקבלן 36,,,על יסודי,,,31.789122318560484,35.17742416454173,"הקבלן 36, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר שבות יהודה (ישמח משה),הקבלן 34,,,על יסודי,,,31.78934894020069,35.17742017617668,"הקבלן 34, ירושלים",,,"הר נוף, מקלט בבית ספר"
,בית ספר תיכון לאומנויות,יצחק אלחנן 3,,,על יסודי,,,31.769765,35.22139091,"יצחק אלחנן 3, ירושלים",,,"טלביה - קוממיות, מקלט בבית ספר"
,"בית ספר מ""מ קשת תלפ""ז",דוד רזיאל 13,,,יסודי,,,31.750174646589908,35.23301794965117,"דוד רזיאל 13, ירושלים",,,"תלפיות מזרח - ארמון הנציב, מקלט בבית ספר"
,"ת""ת מוריה בנים",משגב לדך 6,,,יסודי,,,31.778582291529233,35.232638115680786,"משגב לדך 6, ירושלים",,,"עיר העתיקה, מקלט בבית ספר"
,"בית ספר מ""מ תל""י רמת מוריה",אדם 28,,,יסודי,,,31.750105257735093,35.22950544117963,"אדם 28, ירושלים",,,"תלפיות מזרח - ארמון הנציב, מקלט בבית ספר"
,"בית ספר ממ""ד הלל חמ""ד ניסויי",עולי הגרדום 115,,,יסודי,,,31.750225361424274,35.23758986567657,"עולי הגרדום 115, ירושלים",,,"תלפיות מזרח - ארמון הנציב, מקלט בבית ספר"
,בית עזריאל,שטראוס 17,,,על יסודי,,,31.786120799553924,35.21870283208162,"שטראוס 17, ירושלים",,,"מרכז העיר, מקלט בבית ספר"
,"בית ספר קשת רא""ם (סליגסברג)",דוד רזיאל 29,,,על יסודי,,,31.75031818601405,35.23420969152453,"דוד רזיאל 29, ירושלים",,,"תלפיות מזרח - ארמון הנציב, מקלט בבית ספר"
,"בית ספר ממ""ד איתן",קדושי בבל 22,,,יסודי,,,31.747503350007204,35.23855079821269,"קדושי בבל 22, ירושלים",,,"תלפיות מזרח - ארמון הנציב, מקלט בבית ספר"
,בית ספר אורט מינקוף,הדישון 25,,,על יסודי,,,31.754251108817613,35.18179123811102,"הדישון 25, ירושלים",,,"מלחה, מקלט בבית ספר"
,"בית ספר מ""מ השלום ע""ש יצחק רבין",האייל 72,,,יסודי,,,31.749669810762647,35.18124050547168,"האייל 72, ירושלים",,,"מלחה, מקלט בבית ספר"
,בית ספר אמור אל הכהנים (שירת מרים),שמואל הנביא 36,,,יסודי,,,31.790698479111985,35.224808707424124,"שמואל הנביא 36, ירושלים",,,"מעלות דפנה, שמואל הנביא, מקלט בבית ספר"
,בית ספר במסילה נעלה,שמעון הצדיק 23,,,יסודי,,,31.794295147422826,35.22403121932252,"שמעון הצדיק 23, ירושלים",,,"מעלות דפנה, שמואל הנביא, מקלט בבית ספר"
,בית ספר ברסלב (באר מרים),קרל נטר 40,,,יסודי,,,31.795526387920194,35.2246672193224,"קרל נטר 40, ירושלים",,,"מעלות דפנה, שמואל הנביא, מקלט בבית ספר"
,בית ספר רנה קאסן,קרל נטר 1,,,על יסודי,,,31.799289924414854," 35.226206533849115","קרל נטר 1, ירושלים",,,"מעלות דפנה, שמואל הנביא, מקלט בבית ספר"
,בית ספר הגמנסיה העברית.עירוני א,הקרן הקיימת לישראל 14,,,על יסודי,,,31.777322916140818,35.213710565353416,"הקרן הקיימת לישראל 14, ירושלים",,,"מרכז העיר, מקלט בבית ספר"
